1;2;3;4;6;7;8;9;10;11;12;13;14
NES;2009;04/02/2009;00:00;04/02/2009;11:00;102º, 1º;1;1;(+BA +BT);4.632;10.100;159.50º
NWS;2009;03/06/2009;23:00;05/06/2009;08:00;223º, -14º;1;2;(+BA -BT);2.084;5.009;118.13º
WNE;2009;27/06/2009;23:00;28/06/2009;12:00;110º, 71º;0;1;NOT;2.486;6.436;134.22º
NOT;2009;22/07/2009;00:00;22/07/2009;08:00;NOT;0;0;NOT;*;*;*
NWS;2009;30/09/2009;10:00;30/09/2009;20:00;296º, 23º;1;1;(+BA -BT);5.357;11.333;95.40º
NWS;2009;29/10/2009;09:00;29/10/2009;23:00;248º, -1º;1;1;(+BA -BT);2.217;5.765;121.74º
NOT;2009;14/11/2009;10:00;14/11/2009;18:00;NOT;0;0;NOT;*;*;*
NES;2009;12/12/2009;20:00;13/12/2009;22:00;70º, 25º;1;1;(+BA +BT);3.048;7.635;101.55º
NES;2010;02/01/2010;02:00;03/01/2010;00:00;76º,36º;1;1;(+BA +BT);5.803;11.014;130.31º
SWN;2010;07/02/2010;22:00;08/02/2010;20:00;244º, 32º;2;1;(-BA +BT);5.043;10.581;136.90º
NOT;2010;22/02/2010;14:00;22/02/2010;23:00;NOT;0;0;NOT;*;*;*
NWS;2010;05/04/2010;18:00;06/04/2010;13:00;222º, -21º;2;2;(-BA +BT);5.784;11.764;107.98º
SWN;2010;09/04/2010;20:00;10/04/2010;20:00;271º, 10º;2;1;(-BA +BT);3.079;4.622;94.55º
NOT;2010;12/04/2010;01:00;12/04/2010;15:00;NOT;0;0;NOT;*;*;*
WSE;2010;28/05/2010;23:00;29/05/2010;17:00;272º, -81º;0;2;NOT;7.713;13.273;128.68º
NES;2010;21/06/2010;06:00;22/06/2010;14:00;95º, 18º;1;1;(+BA +BT);3.527;7.398;147.54º
ESW;2010;04/08/2010;09:00;05/08/2010;00:00;10º, -59º;2;2;(+BA -BT);12.730;14.349;108.83º
WNE;2010;31/10/2010;05:00;01/11/2010;21:00;308º, 56º;1;1;(-BA -BT);4.942;10.718;131.48
NES;2010;28/12/2010;06:00;28/12/2010;12:00;NOT;0;0;NOT;;;
NES;2011;24/01/2011;10:00;25/01/2011;08:00;91º, -19º;1;2;(-BA +BT);14.580;16.123;169.02º
NES;2011;04/02/2011;13:00;04/02/2011;20:00;78º, -14º;1;2;(-BA -BT);3.454;8.349;128.72º
NOT;2011;18/02/2011;18:00;20/02/2011;08:00;NOT;0;0;NOT;*;*;*
WNE;2011;29/03/2011;23:00;31/03/2011;04:00;112º, 49º;1;1;(+BA +BT);4.323;10.065;164.97º
SWN;2011;28/05/2011;06:00;28/05/2011;20:00;287º, -14º;2;2;(-BA +BT);8.000;12.150;114.01º
NES;2011;05/06/2011;03:00;05/06/2011;17:00;127º, -26º;1;2;(+BA +BT);3.278;8.350;158.41º
NES;2011;17/06/2011;08:00;17/06/2011;14:00;112º, 4º;1;1;(+BA +BT);2.065;4.636;118.90º
NWS;2011;07/07/2011;06:00;07/07/2011;12:00;263º, -2º;1;2;(-BA +BT);3.548;4.636;110.07º
SWN;2011;05/08/2011;02:00;05/08/2011;08:00;268º, -10º;2;2;(-BA -BT);11.365;14.908;140.78º
NOT;2011;06/08/2011;22:00;07/08/2011;15:00;NOT;0;0;NOT;*;*;*
NOT;2011;08/09/2011;20:00;09/09/2011;04:00;NOT;0;0;NOT;*;*;*
SWN;2011;10/09/2011;03:00;10/09/2011;11:00;234º, -24º;2;2;(-BA -BT);4.278;9.754;139.73º
NOT;2011;17/09/2011;14:00;18/09/2011;06:00;NOT;0;0;NOT;*;*;*
NOT;2011;18/09/2011;12:00;18/09/2011;21:00;NOT;0;0;NOT;*;*;*
SWN;2011;22/09/2011;22:00;23/09/2011;05:00;270º, -21º;2;2;(-BA -BT);3.663;8.761;128.10º
NOT;2011;05/10/2011;10:00;05/10/2011;03:00;NOT;0;0;NOT;*;*;*
NOT;2011;06/10/2011;12:00;06/10/2011;23:00;NOT;0;0;NOT;*;*;*
NWS;2011;22/10/2011;21:00;23/10/2011;14:00;319º, -17º;2;1;(-BA -BT);2.273;5.288;150.04º
ENW;2011;25/10/2011;01:00;25/10/2011;16:00;68º, 74º;0;1;NOT;3.637;9.019;112.36º
WSE;2011;02/11/2011;02:00;02/11/2011;18:00;68º, -49º;2;2;(-BA -BT);3.545;7.326;94.38º
NOT;2011;07/11/2011;17:00;07/11/2011;23:00;NOT;0;0;NOT;*;*;*
NWS;2011;14/11/2011;19:00;15/11/2011;04:00;294º, 8º;0;1;(+BA +BT);2.868;6.566;139.29º
NES;2011;29/11/2011;01:00;29/11/2011;08:00;78º , 0º;1;1;(-BA -BT);2.195;5.695;128.41
NES;2011;02/12/2011;16:00;02/12/2011;00:00;86º, -28º;2;2;(-BA +BT);2.911;6.454;132.73º
NOT;2011;25/12/2011;02:00;26/12/2011;17:00;NOT;0;0;NOT;*;*;*
NOT;2011;29/12/2011;22:00;30/12/2011;08:00;NOT;0;0;NOT;*;*;*
NOT;2012;21/01/2012;06:00;22/01/2012;08:00;NOT;0;0;NOT;*;*;*
SWN;2012;22/01/2012;23:00;23/01/2012;07:00;291º, -7º;1;2;(+BA +BT);3.301;8.422;125.85º
SWN;2012;15/02/2012;13:00;16/02/2012;06:00;281º, 29º;1;1;(-BA +BT);7.567;11.297;102.00º
NOT;2012;16/02/2012;05:00;18/02/2012;11:00;NOT;0;0;NOT;*;*;*
NES;2012;27/02/2012;19:00;28/02/2012;16:00;28º, 29º;1;1;(+BA +BT);3.640;7.951;140.10º
NES;2012;29/02/2012;21:00;01/03/2012;08:00;109º, -10º;2;2;(+BA -BT);2.713;4.867;129.63º
NOT;2012;03/03/2012;20:00;04/03/2012;06:00;NOT;0;0;NOT;*;*;*
NWS;2012;06/03/2012;09:00;06/03/2012;16:00;281º, -37º;1;2;(+BA -BT);5.571;10.893;92.97º
NES;2012;09/03/2012;03:00;10/03/2012;06:00;NOT;0;0;NOT;*;*;*
ESW;2012;15/03/2012;16:00;16/03/2012;00:00;315º, -73º;2;2;(-BA +BT);5.650;11.412;98.72º
WSE;2012;23/04/2012;17:00;24/04/2012;06:00;278º, -68º;0;1;(+BA +BT);4.832;5.999;113.72º
ENW;2012;17/05/2012;16:00;18/05/2012;00:00;246º, 67º;1;1;(-BA -BT);9.277;14.120;118.06º
NES;2012;16/06/2012;23:00;17/06/2016;12:00;97º, -42º;1;2;(-BA -BT);5.657;11.514;90.41º
NWS;2012;05/07/2012;20:00;06/07/2012;02:00;265º, 10º;2;2;(+BA -BT);11.494;14.954;116.19º
WSE;2012;09/07/2012;00:00;09/07/2012;14:00;314º, -45º;1;2;(-BA -BT);4.893;10.793;156.90º
NOT;2012;15/07/2012;06:00;15/07/2012;05:00;NOT;0;0;NOT;*;*;*
NOT;2012;01/09/2012;07:00;03/09/2012;10:00;NOT;0;0;NOT;*;*;*
ENW;2012;05/09/2012;06:00;05/09/2012;18:00;210º, 47º;2;2;(+BA +BT);3.600;8.281;100.99º
NWS;2012;06/09/2012;02:00;06/09/2012;17:00;266º, 10º;1;1;(+BA +BT);2.644;6.961;91.67º
SEN;2012;01/10/2012;00:00;01/10/2012;14:00;74º, 26º;2;1;(+BA +BT);9.737;14.126;121.42º
NOT;2012;02/10/2012;22:00;03/10/2012;06:00;NOT;0;0;NOT;*;*;*
ESW;2012;08/10/2012;18:00;09/10/2012;12:00;72º, -72º;0;1;(+BA +BT);6.433;12.302;150.45º
SEN;2012;13/10/2012;04:00;13/10/2012;13:00;97º, -31º;2;2;(-BA +BT);7.544;12.506;102.71º
ESW;2012;01/11/2012;02:00;02/11/2012;03:00;219º, -84º;0;1;(+BA +BT);23.924;17.628;161.22º
NOT;2012;09/11/2012;03:00;09/11/2012;15:00;NOT;0;0;NOT;*;*;*
NES;2012;13/11/2012;08:00;14/11/2012;03:00;93º, 29º;1;1;(+BA -BT);12.604;14.476;125.53º
NOT;2012;24/11/2012;12:00;25/11/2012;10:00;NOT;0;0;NOT;*;*;*
NES;2012;14/12/2012;07:00;14/12/2012;17:00;142º, 25º;2;2;(-BA -BT);4.781;9.189;134.09º
SWN;2013;17/01/2013;16:00;18/01/2013;04:00;313º, -8º;2;2;(-BA +BT);2.009;5.065;122.65º
NES;2013;19/01/2013;03:00;19/01/2013;15:00;4º, -5º;1;1;(+BA +BT);2.223;4.748;105.41º
SEN;2013;17/02/2013;13:00;17/02/2013;20:00;53º, -29º;2;2;(+BA -BT);4.015;8.223;110.11º
NES;2013;18/03/2013;06:00;18/03/2013;14:00;68º, 16º;2;2;(-BA -BT);3.422;8.544;109.33º
NOT;2013;20/03/2013;18:00;20/03/2013;22:00;NOT;0;0;NOT;*;*;*
ENW;2013;14/04/2013;19:00;15/04/2013;23:00;273º, 52º;0;1;(+BA +BT);3.251;7.916;100.54º
NWS;2013;30/04/2013;12:00;01/05/2013;07:00;301º, -14º;1;1;(+BA +BT);2.272;5.644;105.70º
NOT;2013;01/05/2013;11:00;01/05/2013;18:00;NOT;0;0;NOT;*;*;*
SEN;2013;06/06/2013;19:00;08/06/2013;00:00;82º, -23º;2;2;(-BA +BT);14.331;11.292;151.78º
NOT;2013;08/06/2013;10:00;08/06/2013;20:00;NOT;0;0;NOT;*;*;*
NWS;2013;28/06/2013;02:00;28/06/2013;12:00;272º, 6º;1;1;(+BA -BT);20.849;16.849;125.69º
WSE;2013;28/06/2013;15:00;29/06/2013;06:00;204º, -49º;2;1;(-BA +BT);3.295;8.389;95.81º
ESW;2013;05/07/2013;19:00;07/07/2013;16:00;283º, -58º;0;2;(+BA +BT);3.636;8.339;114.20º
NWS;2013;13/07/2013;05:00;14/07/2013;23:00;290º, -13º;1;2;(+BA +BT);10.971;14.057;128.57º
WSE;2013;21/08/2013;08:00;21/08/2013;14:00;353º, -51º;0;1;(+BA +BT);3.739;9.181;99.71º
NOT;2013;24/08/2013;10:00;25/08/2013;03:00;NOT;0;0;NOT;*;*;*
SEN;2013;25/08/2013;03:00;25/08/2013;15:00;59º, -20º;0;2;(+BA +BT);2.619;6.889;154.21
ENW;2013;02/10/2013;23:00;03/10/2013;22:00;114º, 47º;1;2;(-BA -BT);6.596;11.607;160.47º
WSE;2013;09/11/2013;00:00;09/11/2013;06:00;341º, -55º;1;2;(-BA +BT);7.250;12.899;105.63º
NWS;2013;11/11/2013;17:00;12/11/2013;03:00;351º, 43º;1;1;(-BA -BT);5.003;9.042;103.62º
NOT;2013;01/12/2013;11:00;02/12/2013;23:00;NOT;0;0;NOT;*;*;*
NES;2013;15/12/2013;17:00;16/12/2013;03:00;63º, 41º;2;1;(-BA -BT);4.113;9.507;112.59º
WSE;2013;25/12/2013;05:00;25/12/2013;17:00;56º, -64º;2;2;(-BA -BT);2.419;6.342;143.26º
NWS;2014;08/02/2014;06:00;09/02/2014;12:00;260º, -20º;1;2;(-BA -BT);2.435;6.005;104.98º
NOT;2014;11/02/2014;12:00;13/02/2014;10:00;NOT;0;0;NOT;*;*;*
WNE;2014;16/02/2014;07:00;16/02/2014;13:00;296º, 87º;0;2;(-BA -BT);11.554;15.159;109.57º
SWN;2014;16/02/2014;23:00;17/02/2014;06:00;217º, -26º;2;2;(-BA -BT);6.326;9.543;158.77º
WNE;2014;19/02/2014;12:00;19/02/2014;20:00;212º, 52º;2;1;(+BA +BT);11.051;10.457;145.51º
ESW;2014;19/02/2014;02:00;19/02/2014;09:00;19º, -59º;1;2;(+BA -BT);9.960;13.101;154.21º
NOT;2014;06/04/2014;22:00;07/04/2014;05:00;NOT;0;0;NOT;*;*;*
SWN;2014;12/04/2014;09:00;13/04/2014;05:00;250º, 13º;1;1;(+BA +BT);3.074;7.714;90.37º
NOT;2014;20/04/2014;01:00;20/04/2014;12:00;NOT;0;0;NOT;*;*;*
SEN;2014;21/04/2014;08:00;20/04/2014;20:00;169º, -16º;2;2;(+BA -BT);3.371;8.129;115.03º
WSE;2014;29/04/2014;21:00;01/05/2014;00:00;38º, -52º;2;2;(-BA +BT);7.224;12.671;110.31º
NES;2014;20/08/2014;10:00;21/08/2014;05:00;87º, 14º;1;1;(+BA +BT);4.282;9.336;127.51º
NOT;2014;12/09/2014;22:00;14/09/2014;02:00;NOT;0;0;NOT;*;*;*
NOT;2014;17/09/2014;02:00;18/09/2014;20:00;NOT;0;0;NOT;*;*;*
SEN;2014;22/12/2014;10:00;22/12/2014;18:00;68º, 18º;1;1;(+BA -BT);9.433;13.945;100.64º
NWS;2015;02/01/2015;15:00;02/01/2015;22:00;269º, 4º;1;1;(+BA +BT);5.825;9.922;111.22º
NWS;2015;03/01/2015;14:00;04/01/2015;08:00;211º, -24º;1;2;(+BA -BT);2.422;6.277;150.36º
SEN;2015;07/01/2015;08:00;07/01/2015;20:00;36º, 18º;1;2;(-BA +BT);7.362;13.035;149.04º
SWN;2015;17/03/2015;18:00;18/03/2015;05:00;248º, -8º;2;2;(+BA -BT);7.131;12.873;116.87º
NOT;2015;28/03/2015;11:00;29/03/2015;13:00;NOT;0;0;NOT;*;*;*
NOT;2015;31/03/2015;18:00;01/04/2015;10:00;NOT;0;0;NOT;*;*;*
ESW;2015;10/04/2015;13:00;11/04/2015;09:00;169º, -56º;2;1;(-BA -BT);19.967;14.776;126.03º
SEN;2015;06/05/2015;14:00;07/05/2015;16:00;114º, 36º;1;1;(+BA +BT);13.154;15.194;110.96º
NES;2015;10/05/2015;13:00;11/05/2015;02:00;166º, -37º;1;2;(-BA +BT);2.087;4.893;166.98º
NES;2015;18/05/2015;22:00;19/05/2015;04:00;94º, 5º;1;1;(+BA +BT);5.970;11.889;148.34º
SEN;2015;23/06/2015;07:00;23/06/2015;13:00;137º, -13º;1;1;(-BA -BT);3.028;7.785;97.36º
NOT;2015;26/06/2015;12:00;27/06/2015;02:00;NOT;0;0;NOT;*;*;*
WSE;2015;15/08/2015;22:00;16/08/2015;08:00;154º, -62º;1;1;(+BA -BT);2.284;5.186;103.48º
NES;2015;26/08/2015;00:00;26/08/2015;08:00;76º, 17º;1;1;(-BA +BT);2.592;6.785;118.32º
ESW;2015;27/08/2015;13:00;27/08/2015;19:00;53º, -63º;1;2;(+BA -BT);5.636;11.529;125.77º
WNE;2015;08/09/2015;01:00;08/09/2015;16:00;306º, 47º;2;1;(+BA +BT);6.982;12.201;117.46º
NES;2015;08/09/2015;17:00;09/09/2015;14:00;81º, -23º;1;2;(-BA +BT);10.443;14.713;122.94º
NOT;2015;25/10/2015;14:00;27/10/2015;04:00;NOT;0;0;NOT;*;*;*
WNE;2015;04/11/2015;12:00;04/11/2015;19:00;156º, 59º;2;2;(-BA +BT);2.164;5.163;132.69º
WNE;2015;07/11/2015;14:00;08/11/2015;15:00;292º, 82º;0;1;(+BA -BT);10.145;11.816;93.58º
SWN;2015;20/12/2015;17:00;20/12/2015;20:00;234º, -10º;2;2;(+BA -BT);5.540;11.441;98.52º
WSE;2015;31/12/2015;18:00;01/01/2016;05:00;247º, -65º;2;1;(-BA +BT);4.376;10.141;125.88º
SWN;2016;01/01/2016;05:00;01/01/2016;11:00;358º, -4º;2;2;(+BA +BT);2.178;5.644;96.01º
NES;2016;19/01/2016;11:00;20/01/2016;08:00;33º, 39º;1;2;(-BA +BT);2.292;5.994;141.60º
ESW;2016;20/01/2016;08:00;21/01/2016;00:00;234º, -47º;2;2;(+BA +BT);5.204;10.295;112.50º
NOT;2016;24/01/2016;18:00;26/01/2016;18:00;NOT;0;0;NOT;*;*;*
ENW;2016;05/03/2016;19:00;06/03/2016;19:00;262º, 46º;1;1;(-BA +BT);7.843;9.544;120.28º
SWN;2016;20/03/2016;15:00;21/03/2016;00:00;217º, -1º;1;1;(-BA -BT);2.141;5.356;123.14º
NOT;2016;14/04/2016;09:00;15/04/2016;04:00;NOT;0;0;NOT;*;*;*
SWN;2016;17/04/2016;03:00;18/04/2016;07:00;271º, 9º;1;1;(-BA +BT);6.289;9.088;93.32º
NWS;2016;21/07/2016;15:00;22/07/2016;14:00;285º, -6º;1;2;(+BA +BT);2.274;5.720;90.43º
NWS;2016;24/07/2016;22:00;25/07/2016;13:00;340º, -7º;1;1;(-BA -BT);6.320;11.462;115.70º
SEN;2016;02/08/2016;20:00;03/08/2016;03:00;93º, -2º;2;2;(+BA +BT);7.755;13.080;121.30º
SEN;2016;13/10/2016;07:00;14/10/2016;15:00;93º, -21º;2;2;(-BA +BT);13.489;15.434;170.88º
NES;2016;10/11/2016;00:00;10/11/2016;10:00;87º, 29º;1;1;(+BA +BT);13.016;13.24;156.87º
SEN;2017;04/04/2017;04:00;04/04/2017;14:00;95º, -23º;2;2;(-BA -BT);5.953;11.879;153.84º
SEN;2017;09/04/2017;12:00;10/04/2017;08:00;97º, -17º;2;2;(+BA +BT);3.176;8.063;135.68º
ESW;2017;14/04/2017;04:00;15/04/2017;00:00;18º, -47º;0;2;(+BA -BT);2.657;6.203;92.75º
SWM;2017;27/05/2017;22:00;29/05/2017;02:00;256º, 6º;2;2;(+BA +BT);24.049;16.820;111.26º
ESW;2017;16/07/2017;15:00;17/07/2017;20:00;171º, -63º;1;1;(-BA +BT);2.726;7.074;133.64º
NOT;2017;22/08/2017;04:00;23/08/2017;18:00;NOT;0;0;NOT;*;*;*
SEN;2017;07/09/2017;23:00;08/09/2017;05:00;58º, -2º;2;2;(-BA +BT);101.68º;13.905;106.73º
NOT;2017;08/09/2017;11:00;10/09/2017;21:00;NOT;0;0;NOT;*;*;*
NOT;2017;25/12/2017;00:00;26/12/2017;04:00;NOT;0;0;NOT;*;*;*
SWN;2018;09/03/2018;23:00;11/03/2018;20:00;317º, -12º;2;2;(+BA +BT);5.197;10.833;147.13º
WNE;2018;13/05/2018;06:00;13/05/2018;15:00;186º, 70º;2;2;(-BA -BT);3.522;6.605;108.81º
SWN;2018;06/06/2018;12:00;07/06/2018;10:00;284º, -29º;2;2;(+BA -BT);4.945;6.245;94.90º
SWN;2018;25/06/2018;10:00;26/06/2018;03:00;344º, -42º;1;1;(-BA -BT);8.036;5.798;147.37º
NOT;2018;30/06/2018;20:00;02/07/2018;10:00;NOT;0;0;NOT;*;*;*
ENW;2018;10/07/2018;12:00;11/07/2018;03:00;24º, 68º;1;2;(-BA -BT);5.263;11.162;134.75º
NWS;2018;25/08/2018;13:00;25/08/2018;22:00;227º, -12º;1;2;(+BA -BT);5.666;11.213;132.64º
WSE;2018;25/08/2018;19:00;26/08/2018;12:00;83º, -58º;2;2;(-BA +BT);4.171;9.688;93.62º
SEN;2019;11/05/2019;06:00;12/05/2019;06:00;77º, 35º;0;1;(-BA +BT);4.215;9.891;105.79º
NOT;2019;14/05/2019;06:00;15/05/2019;16:00;NOT;0;0;NOT;*;*;*
SEN;2019;18/05/2019;04:00;18/05/2019;13:00;78º, -23º;1;2;(+BA -BT);2.071;5.288;129.81º
SWN;2019;27/05/2019;06:00;28/05/2019;00:00;267º, -21º;2;2;(-BA -BT);12.474;14.096;151.68º
NWS;2019;29/10/2019;20:00;30/10/2019;21:00;105º, 25º;*;*;*;7.265;12.594;88.69º
SWN;2019;11/11/2019;10:00;12/11/2019;12:00;82º, 16º;*;*;*;2.033;5.161;122.92º
SWN;2020;04/01/2020;10:00;05/01/2020;06:00;75º, 20º;*;*;*;5.915;8.737;83.99º
SEN;2020;20/04/2020;09:00;21/04/2020;04:00;93º, 4º;*;*;*;38.331;16.407;123.60º
SEN;2020;05/10/2020;17:00;06/10/2020;14:00;84º, 41º;*;*;*;48.261;7.29;104.14º
ENW;2021;12/05/2021;15:00;14/05/2021;20:00;250º, 68º;*;*;*;1.55;3.11;59.44º
NES;2021;05/07/2021;04:00;06/07/2021;02:00;64º, 16º;*;*;*;4.514;5.597;98.43º
